длина_текста время сравнений
1104 38000 25
8980 38700 279
6573 38100 278
9497 42600 308
1436 14300 31
8373 39300 292
3619 23900 143
4237 39800 277
314 9200 27
5343 48700 380
913 15700 58
380 7600 10
3757 9400 31
8861 39700 225
4248 50000 248
8122 55700 460
691 14100 41
5889 125700 872
2397 27000 143
5441 77800 678
2095 27700 190
1527 12100 54
263 18400 17
4466 22800 131
6997 62200 467
1067 16200 92
2753 43500 316
3966 18600 102
4836 41300 333
746 19800 132
3936 82600 679
3367 50600 414
7982 48700 308
1259 16900 95
7316 56600 443
3334 96900 930
3085 32700 189
2606 52300 320
3397 39900 181
4974 47600 296
1383 11900 15
3520 31000 199
6828 53500 396
7788 40300 283
238 8800 23
4499 22500 110
4792 75200 648
4606 23500 157
6761 29700 198
9244 38800 288
4118 13700 67
452 11800 37
2451 29600 219
7472 51400 411
417 11500 43
2026 10800 52
4340 122600 1092
1435 22600 135
7422 34200 260
5617 53800 390
1800 19000 118
8863 116900 1045
3506 16900 103
8077 100100 870
2788 25800 174
631 15500 39
6333 114200 537
5418 12900 57
2451 32800 212
3993 25500 164
8731 64600 553
7651 61300 382
358 11500 19
8125 62700 524
1751 54000 409
9167 15400 72
5107 114900 961
5517 36000 279
8016 36100 274
2455 12400 54
9846 63800 521
6834 203200 1807
8053 29300 213
7674 14400 71
4256 49300 368
8139 66900 517
3381 13100 65
529 21200 141
4000 25800 142
7546 25900 179
331 8100 15
3683 39000 255
2520 25700 146
4400 33100 242
5296 187500 1676
7773 121200 1028
9713 49300 377
8838 62600 523
5224 16600 21
9500 73500 459
